State,Market,Low_Rent_USD,High_Rent_USD,Notes
Alabama,Statewide Average,1220,2300,Mixed rural-urban environments lead to zoning delays but lower co-location resistance
Alabama,Birmingham,1690,3080,Metro sprawl and redevelopment attract 5G builds in transitional zones
Alabama,Montgomery,1510,2800,Government proximity boosts rooftop lease value for signal security
Alabama,Mobile,1600,2930,Coastal storms raise structural requirements and cost burdens
Alabama,Huntsville,1730,3150,Aerospace and tech sector data demand increases fiber corridor interest
Alabama,Tuscaloosa,1470,2700,Student housing density drives demand for microcells and rooftop leases
Alabama,Rural Alabama,610,1110,Long lease durations typical due to slow rural turnover
Alaska,Statewide Average,1040,2050,Harsh environments and isolated towns make each lease a high-value investment
Alaska,Anchorage,1580,3000,Major urban hub demands consistent coverage year-round
Alaska,Fairbanks,1450,2760,Cold-weather tech and logistics zones increase fiber-heavy installations
Alaska,Juneau,1390,2620,Steep terrain and zoning complexity drive premium for placement ease
Alaska,Wasilla,1300,2470,Proximity to Anchorage allows for competitive rates due to spillover
Alaska,Sitka,1270,2430,"Island access raises setup costs, increasing long-term lease value"
Alaska,Rural Alaska,570,1050,Barging equipment and limited grid access spike carrier costs
Arizona,Statewide Average,1710,3160,Heat and elevation diversity create varying site valuation across the state
Arizona,Phoenix,2280,4200,Rapid city growth and zoning turnover boost lease value on new builds
Arizona,Tucson,1920,3490,Desert heat and wildlife overlays impact equipment choices and pricing
Arizona,Mesa,1960,3560,Expanding suburban zones invite new towers and updated co-location terms
Arizona,Chandler,1940,3500,Tech corridor and grid access attract high-paying anchor tenants
Arizona,Scottsdale,2110,3780,Rooftop leases in aesthetic zones push demand for hidden installs
Arizona,Rural Arizona,690,1270,Dry terrain and isolation increase cost per tenant
Arkansas,Statewide Average,1240,2310,Mixed terrain and limited fiber coverage impact expansion rates
Arkansas,Little Rock,1690,3070,Rooftop scarcity in city center increases demand for ground leases
Arkansas,Fort Smith,1510,2770,Industrial corridor sites offer better lease premiums for logistics support
Arkansas,Fayetteville,1540,2810,University growth drives demand for dense small cell deployment
Arkansas,Springdale,1460,2620,Mid-sized growth markets offer longer leases to encourage carrier investment
Arkansas,Jonesboro,1430,2580,Open commercial plots ideal for multi-carrier tower hubs
Arkansas,Rural Arkansas,610,1100,Easement access and easement prep increase upfront tenant costs
California,Statewide Average,2060,3980,"Stringent permitting, high land values, and environmental laws increase negotiation leverage"
California,Los Angeles,2700,5010,High-density zoning drives rooftop lease premiums
California,San Diego,2440,4540,Coastal constraints raise demand for municipal building partnerships
California,San Jose,2640,4790,Tech hubs and bandwidth demands fuel high-value lease proposals
California,San Francisco,2780,5120,Regulatory layers and heritage buildings limit new tower access
California,Fresno,2150,4020,Expanding suburbs raise lease value in farmland-adjacent zones
